Shore Dr & 55th St,member,-87.58082,41.79526,2596
Rush St & Cedar St,casual,-87.62775,41.90235,2590
Lincoln Park Conservatory,casual,-87.63584,41.92396,2577
Halsted St & Clybourn Ave,casual,-87.64811,41.90962,2576
Michigan Ave & 18th St,member,-87.62455,41.85783,2576
Blackstone Ave & 59th St,member,-87.59049,41.78793,2575
Ogden Ave & Race Ave,member,-87.6588,41.89179,2572
LaSalle St & Washington St,member,-87.63254,41.88269,2568
Wells St & Polk St,member,-87.63367,41.87276,2556
Larrabee St & Armitage Ave,member,-87.64375,41.91809,2554
State St & Pearson St,member,-87.62873,41.89745,2537
Ashland Ave & Division St,casual,-87.66781,41.90337,2532
Cityfront Plaza Dr & Pioneer Ct,member,-87.62209,41.89052,2529
State St & Chicago Ave,casual,-87.62862,41.89664,2528
Dearborn St & Erie St,casual,-87.62933,41.89404,2526
University Ave & 57th St,casual,-87.59988,41.79149,2522
Throop St & Taylor St,member,-87.65913,41.8689,2517
Wabash Ave & Adams St,member,-87.62574,41.87948,2511
Halsted St & Fulton St,casual,-87.64814,41.88685,2505
Orleans St & Hubbard St,member,-87.63667,41.89,2504
California Ave & Milwaukee Ave,member,-87.69714,41.92271,2491
Halsted St & Roscoe St,casual,-87.64894,41.94366,2486
Damen Ave & Pierce Ave,casual,-87.6777,41.90944,2471
Halsted St & Willow St,member,-87.64878,41.91385,2470
Sheffield Ave & Webster Ave,casual,-87.65381,41.92163,2468
Michigan Ave & Jackson Blvd,casual,-87.62414,41.87822,2459
Lincoln Ave & Melrose St,member,-87.66949,41.9406,2432
Kedzie Ave & Milwaukee Ave,casual,-87.70791,41.92956,2428
Ashland Ave & Blackhawk St,member,-87.66722,41.90705,2422
Eckhart Park,member,-87.661,41.89639,2417
Indiana Ave & 31st St,member,-87.62185,41.83885,2414
Wood St & Taylor St (Temp),member,-87.67369,41.86931,2412
Wells St & Institute Pl,member,-87.63443,41.8974,2411
Southport Ave & Irving Park Rd,member,-87.66432,41.95417,2410
St. Clair St & Erie St,casual,-87.62279,41.89433,2397
Orleans St & Merchandise Mart Plaza,casual,-87.63668,41.88808,2389
Fairbanks Ct & Grand Ave,casual,-87.62061,41.89188,2388
Elston Ave & Cortland St,member,-87.66676,41.91644,2385
Sedgwick St & North Ave,casual,-87.63868,41.91137,2373
Clark St & Bryn Mawr Ave,member,-87.66919,41.98352,2372
Southport Ave & Clybourn Ave,member,-87.66374,41.92081,2365
Wabash Ave & Roosevelt Rd,casual,-87.62598,41.86722,2355
Daley Center Plaza,casual,-87.62959,41.88416,2353
Clark St & Schiller St,casual,-87.63155,41.90793,2346
Wabash Ave & Wacker Pl,casual,-87.62608,41.88687,2342
Ellis Ave & 58th St,member,-87.60132,41.78878,2339
Pine Grove Ave & Waveland Ave,casual,-87.64646,41.94943,2321
Franklin St & Jackson Blvd,casual,-87.63528,41.87772,2319
State St & Randolph St,casual,-87.62788,41.88462,2307
Damen Ave & Thomas St (Augusta Blvd),member,-87.67742,41.90133,2305
Pine Grove Ave & Irving Park Rd,casual,-87.64805,41.95439,2301
Dearborn St & Monroe St,casual,-87.62964,41.88107,2299
Ashland Ave & Augusta Blvd,member,-87.66796,41.89964,2299
Clark St & Lake St,casual,-87.63094,41.88598,2299
Michigan Ave & Madison St,member,-87.62515,41.88206,2278
Broadway & Berwyn Ave,member,-87.65982,41.97832,2273
Clinton St & Washington Blvd,casual,-87.64128,41.88338,2269
Sheffield Ave & Wellington Ave,casual,-87.65265,41.93626,2255
State St & 35th St,member,-87.62685,41.83105,2255
Burnham Harbor,member,-87.6138,41.85743,2243
Western Ave & Leland Ave,member,-87.6887,41.96642,2243
Michigan Ave & Pearson St,member,-87.62357,41.89755,2220
Clybourn Ave & Division St,member,-87.64056,41.90461,2211
Dusable Harbor,member,-87.61286,41.88696,2210
Cornell Ave & Hyde Park Blvd,member,-87.5869,41.80242,2209
Mies van der Rohe Way & Chestnut St,casual,-87.62208,41.89857,2198
Southport Ave & Waveland Ave,casual,-87.66399,41.94812,2194
Lincoln Ave & Roscoe St*,member,-87.67073,41.94334,2181
Larrabee St & North Ave,member,-87.6435,41.91019,2175
Clinton St & Roosevelt Rd,member,-87.64107,41.86713,2173
Ashland Ave & Grace St,member,-87.6687,41.95069,2170
Kingsbury St & Erie St,casual,-87.64174,41.89383,2164
Green St & Randolph St*,member,-87.6486,41.8836,2164
Field Blvd & South Water St,casual,-87.61749,41.88628,2162
Rush St & Hubbard St,member,-87.62623,41.89022,2162
Ravenswood Ave & Lawrence Ave,casual,-87.67423,41.96884,2157
Franklin St & Illinois St,casual,-87.63547,41.89102,2141
Broadway & Waveland Ave,casual,-87.64862,41.94908,2138
State St & Harrison St,member,-87.62774,41.87404,2135
Ellis Ave & 55th St,casual,-87.60144,41.7943,2132
Shields Ave & 31st St,member,-87.63539,41.83848,2127
McClurg Ct & Erie St,casual,-87.61799,41.8945,2103
Elizabeth St & Fulton St,member,-87.65961,41.88669,2094
Federal St & Polk St,casual,-87.62957,41.87209,2092
Ashland Ave & Wellington Ave,member,-87.66981,41.93604,2085
Western Ave & Fillmore St,member,-87.68624,41.86861,2082
McCormick Place,casual,-87.61885,41.85141,2080
Sheridan Rd & Irving Park Rd,casual,-87.65442,41.95424,2072
Loomis St & Jackson Blvd,member,-87.66206,41.87799,2068
Shore Dr & 55th St,casual,-87.58077,41.79523,2066
Michigan Ave & Jackson Blvd,member,-87.62415,41.87815,2064
State St & Kinzie St,casual,-87.62718,41.88914,2063
Western Ave & Walton St,member,-87.6866,41.89844,2062
Damen Ave & Division St,member,-87.67848,41.90334,2061
Leavitt St & North Ave,member,-87.68236,41.91033,2060
Michigan Ave & Pearson St,casual,-87.62353,41.89754,2060
Racine Ave & Wrightwood Ave,member,-87.65896,41.92885,2057
Dayton St & North Ave,casual,-87.64944,41.91058,2055
Milwaukee Ave & Grand Ave,casual,-87.64834,41.89165,2052
Canal St & Madison St,casual,-87.63978,41.88226,2037
Ada St & Washington Blvd,member,-87.66122,41.88289,2031
Clark St & Grace St,casual,-87.65918,41.95082,2030
Sangamon St & Washington Blvd,member,-87.65111,41.88307,2018
Wabash Ave & 9th St,casual,-87.62574,41.87074,2017
Ashland Ave & Chicago Ave,member,-87.66775,41.89596,2013
Wilton Ave & Diversey Pkwy,casual,-87.6527,41.93242,2011
Lincoln Park Conservatory,member,-87.63585,41.92398,2006
Adler Planetarium,member,-87.60733,41.86613,2004
Cityfront Plaza Dr & Pioneer Ct,casual,-87.62208,41.89053,1999
Wood St & Augusta Blvd,member,-87.67217,41.89916,1992
Green St & Madison St,casual,-87.64922,41.88187,1983
State St & Van Buren St,member,-87.62788,41.87718,1980
Sheridan Rd & Lawrence Ave,member,-87.65472,41.96951,1977
Leavitt St & Armitage Ave,member,-87.68246,41.9178,1971
Calumet Ave & 18th St,member,-87.61943,41.85765,1965
Wood St & Chicago Ave,member,-87.67211,41.89563,1963
Shedd Aquarium,member,-87.61544,41.86721,1962
Halsted St & Dickens Ave,casual,-87.64885,41.91996,1962
Paulina Ave & North Ave,member,-87.66998,41.91006,1957
Sheridan Rd & Argyle St,member,-87.65473,41.9733,1926
Canal St & Taylor St,member,-87.63948,41.87022,1923
Lake Park Ave & 53rd St,member,-87.58642,41.79952,1912
Winthrop Ave & Lawrence Ave,member,-87.65765,41.96883,1897
Woodlawn Ave & 58th St,member,-87.59649,41.78939,1888
Clinton St & Lake St,casual,-87.64186,41.88554,1878
Larrabee St & Kingsbury St,casual,-87.64305,41.89773,1877
Clark St & Winnemac Ave,casual,-87.66784,41.97336,1877
Racine Ave & Belmont Ave,casual,-87.65887,41.93971,1874
Ogden Ave & Chicago Ave,casual,-87.65408,41.89636,1873
Hermitage Ave & Polk St,member,-87.66989,41.87152,1869
Greenview Ave & Diversey Pkwy,member,-87.66595,41.93261,1869
Ellis Ave & 53rd St,member,-87.60097,41.79935,1867
Canal St & Adams St,casual,-87.63997,41.87935,1867
Clark St & Randolph St,casual,-87.6318,41.8846,1866
Wood St & Milwaukee Ave,casual,-87.67253,41.90763,1865
Sedgwick St & Webster Ave,casual,-87.63893,41.92216,1863
Clark St & North Ave,casual,-87.63197,41.91196,1858
Damen Ave & Leland Ave,member,-87.67905,41.9671,1856
Delano Ct & Roosevelt Rd,member,-87.63219,41.8675,1855
Broadway & Ridge Ave,member,-87.66027,41.98406,1847
Racine Ave & Randolph St,member,-87.6569,41.88408,1838
Green St & Washington Blvd,member,-87.64875,41.8832,1834
Southport Ave & Wrightwood Ave,casual,-87.66389,41.92879,1833
Clinton St & Jackson Blvd,casual,-87.64111,41.87836,1816
Damen Ave & Charleston St,member,-87.67791,41.92012,1808
Emerald Ave & 31st St,member,-87.64513,41.83821,1805
Sedgwick St & Huron St,casual,-87.6384,41.89465,1803
Orleans St & Elm St,member,-87.63772,41.90292,1798
Franklin St & Lake St,casual,-87.63548,41.88581,1788
Michigan Ave & Ida B Wells Dr,casual,-87.62445,41.87624,1784
Logan Blvd & Elston Ave,member,-87.68417,41.92946,1783
Clark St & Montrose Ave,member,-87.66613,41.96158,1773
Rush St & Superior St,casual,-87.62603,41.89572,1773
Ravenswood Ave & Irving Park Rd,member,-87.6739,41.95464,1771
Clark St & Wellington Ave,casual,-87.64755,41.93648,1771
Campbell Ave & North Ave,member,-87.68956,41.91053,1755
Broadway & Sheridan Rd,casual,-87.65002,41.95277,1750
